B;S;H0;H;Q;W;R;dB
2,00;2,50;1,96;4,20;352,65;10,55;135,31;117,80
2,50;3,00;2,72;5,50;400,00;13,05;158,58;117,80
3,00;3,00;2,98;5,00;126,60;9,50;156,44;117,80
2,50;3,00;3,76;6,00;384,50;10,55;136,14;117,80
2,50;3,00;3,76;6,00;384,50;10,55;119,85;117,80
2,50;3,00;3,77;6,00;340,05;10,50;136,77;117,80
2,50;2,50;3,02;6,00;315,50;14,00;37,51;128,80
2,50;2,50;3,26;5,30;155,00;9,60;175,01;117,60
2,50;2,50;2,83;4,00;88,00;5,50;85,19;117,60
2,00;2,50;3,02;4,30;240,00;6,00;59,65;117,60
3,00;3,00;3,62;5,00;71,50;6,50;47,35;118,10
2,50;3,00;2,76;5,00;147,40;10,55;197,99;117,60
2,50;2,50;2,45;5,75;784,00;15,50;147,52;117,60
2,50;3,00;3,26;5,50;500,00;10,55;117,13;117,50
2,50;2,50;3,23;6,00;327,50;13,00;121,22;117,50
2,50;2,00;2,00;4,50;230,00;11,75;250,23;117,50
